gene_id,gene_start,gene_end,kinase_chromosome,kinase_start,kinase_end,kinase_query
JAILWY010000001.1.g27,324735,330563,JAILWY010000001.1,325044,325108,OC317057.1
JAILWY010000001.1.g61,1421285,1426830,JAILWY010000001.1,1423870,1423943,OC321235.1
JAILWY010000001.1.g67,1460800,1465781,JAILWY010000001.1,1465463,1465505,GFDL01007522.1
JAILWY010000001.1.g78,1570728,1576491,JAILWY010000001.1,1572181,1572210,OE179629.1
JAILWY010000001.1.g78,1570728,1576491,JAILWY010000001.1,1572181,1572210,OC317887.1
JAILWY010000001.1.g78,1570728,1576491,JAILWY010000001.1,1572181,1572210,OC000136.1
JAILWY010000001.1.g85,1842901,1845357,JAILWY010000001.1,1843251,1843303,OD564412.1
JAILWY010000001.1.g124,2403941,2412607,JAILWY010000001.1,2412355,2412466,XM_045765783.1
JAILWY010000001.1.g124,2403941,2412607,JAILWY010000001.1,2405211,2405321,GAIX01014181.1
JAILWY010000001.1.g146,2765809,2775644,JAILWY010000001.1,2773867,2773952,OE001250.1
JAILWY010000001.1.g146,2765809,2775644,JAILWY010000001.1,2773867,2773952,OD566137.1
JAILWY010000001.1.g164,3392954,3409268,JAILWY010000001.1,3405360,3405591,OE001716.1
JAILWY010000001.1.g164,3392954,3409268,JAILWY010000001.1,3405360,3405591,OD566055.1
JAILWY010000001.1.g164,3392954,3409268,JAILWY010000001.1,3405352,3405591,OC001949.1
JAILWY010000001.1.g181,3608683,3610344,JAILWY010000001.1,3609942,3609996,HBDT01038756.1
JAILWY010000001.1.g189,3693404,3718327,JAILWY010000001.1,3701636,3701670,OB792717.1
JAILWY010000001.1.g191,3774390,3786083,JAILWY010000001.1,3780691,3780849,OB793240.1
JAILWY010000001.1.g257,4708785,4711190,JAILWY010000001.1,4710307,4710334,OD564662.1
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930085,4930211,XM_017048827.2
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930085,4930211,XM_017048826.2
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930085,4930211,XM_017048825.2
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930085,4930211,XM_017048824.2
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4922583,4923444,XM_043725322.1
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4922583,4923444,XM_043725321.1
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4922583,4923444,XM_043725320.1
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930117,4930211,GFTR01008632.1
JAILWY010000001.1.g282,4921727,4933222,JAILWY010000001.1,4930085,4930211,JR041608.1
JAILWY010000001.1.g367,6730405,6731150,JAILWY010000001.1,6730692,6730719,OB792744.1
JAILWY010000001.1.g389,7104345,7104692,JAILWY010000001.1,7104389,7104467,OD566812.1
JAILWY010000001.1.g389,7104345,7104692,JAILWY010000001.1,7104389,7104446,OC319854.1
JAILWY010000001.1.g389,7104345,7104692,JAILWY010000001.1,7104389,7104446,OB796506.1
JAILWY010000001.1.g389,7104345,7104692,JAILWY010000001.1,7104389,7104446,OA565693.1
