Query	Chromosome	Start	End	Score
PP135038.1	JAILWY010000024.1	5857988	5858057	71.3
PP135038.1	JAILWY010000022.1	4972061	4972091	58.4
PP135038.1	JAILWY010000026.1	1846230	1846257	52.8
KC469893.2	JAILWY010000004.1	8684960	8685331	222.0
KC469893.2	JAILWY010000018.1	8485225	8485313	159.0
KC469893.2	JAILWY010000018.1	14256436	14256529	145.0
KC469893.2	JAILWY010000006.1	8713008	8713092	141.0
KC469893.2	JAILWY010000023.1	18262056	18262086	52.8
KC469893.2	JAILWY010000012.1	6776989	6777016	52.8
KC469893.2	JAILWY010000001.1	905456	905483	52.8
XM_028667455.2	JAILWY010000019.1	2374312	2374637	182.0
XM_062077180.1	JAILWY010000019.1	2374312	2374637	182.0
XM_062077179.1	JAILWY010000019.1	2374312	2374637	182.0
XM_017059299.3	JAILWY010000019.1	2374312	2374637	182.0
XM_017059297.3	JAILWY010000019.1	2374312	2374637	182.0
XM_017059298.3	JAILWY010000019.1	2374312	2374637	182.0
XM_017059296.3	JAILWY010000019.1	2374312	2374637	182.0
KM507871.1	JAILWY010000024.1	80821	81074	342.0
XM_016913107.2	JAILWY010000019.1	2374301	2374637	185.0
XM_016913106.2	JAILWY010000019.1	2374301	2374637	185.0
XM_026441686.1	JAILWY010000019.1	2374301	2374637	185.0
XM_062081192.1	JAILWY010000015.1	2062333	2062412	87.9
XM_062081190.1	JAILWY010000015.1	2062354	2062412	82.4
XM_062081185.1	JAILWY010000015.1	2062354	2062412	82.4
XM_062081179.1	JAILWY010000015.1	2062354	2062412	82.4
XM_062081168.1	JAILWY010000015.1	2062354	2062412	82.4
XM_062081159.1	JAILWY010000015.1	2062354	2062412	82.4
XM_017052071.3	JAILWY010000015.1	2062354	2062412	82.4
XM_028665195.2	JAILWY010000015.1	2062354	2062412	82.4
XM_062081145.1	JAILWY010000015.1	2062354	2062412	82.4
XM_017052070.3	JAILWY010000015.1	2062354	2062412	82.4
XM_062081137.1	JAILWY010000015.1	2062354	2062412	82.4
XM_017052069.3	JAILWY010000015.1	2062354	2062412	82.4
XM_017052067.3	JAILWY010000015.1	2062354	2062412	82.4
XM_062081120.1	JAILWY010000015.1	2062354	2062412	82.4
XM_028665194.2	JAILWY010000015.1	2062354	2062412	82.4
XM_028665193.2	JAILWY010000015.1	2062354	2062412	82.4
MK461629.1	JAILWY010000009.1	2572000	2572716	460.0
MK461628.1	JAILWY010000009.1	2572000	2572716	460.0
MK461626.1	JAILWY010000009.1	2572000	2572716	455.0
OM829137.1	JAILWY010000009.1	2571985	2572649	512.0
OM829136.1	JAILWY010000009.1	2571985	2572649	542.0
OM829133.1	JAILWY010000009.1	2571987	2572649	481.0
OM829132.1	JAILWY010000009.1	2571985	2572649	496.0
OM829131.1	JAILWY010000009.1	2571987	2572649	545.0
OM829130.1	JAILWY010000009.1	2571996	2572649	499.0
OM829129.1	JAILWY010000009.1	2571985	2572649	536.0
OM829128.1	JAILWY010000009.1	2571985	2572649	527.0
OM829127.1	JAILWY010000009.1	2572000	2572649	536.0
OM829126.1	JAILWY010000009.1	2571987	2572649	555.0
OM829125.1	JAILWY010000009.1	2571987	2572649	555.0
OM829124.1	JAILWY010000009.1	2571987	2572649	571.0
OM829123.1	JAILWY010000009.1	2571987	2572649	481.0
OM829122.1	JAILWY010000009.1	2571987	2572649	521.0
OM829119.1	JAILWY010000009.1	2571985	2572649	527.0
OM829118.1	JAILWY010000009.1	2571987	2572649	525.0
OM829117.1	JAILWY010000009.1	2571987	2572649	527.0
OM829116.1	JAILWY010000009.1	2571987	2572649	512.0
OM829115.1	JAILWY010000009.1	2571987	2572649	516.0
OM829114.1	JAILWY010000009.1	2571987	2572649	521.0
OM829113.1	JAILWY010000009.1	2571985	2572649	520.0
OM829112.1	JAILWY010000009.1	2571985	2572649	523.0
OM829111.1	JAILWY010000009.1	2571985	2572649	521.0
OM829110.1	JAILWY010000009.1	2571986	2572649	520.0
OM829109.1	JAILWY010000009.1	2571985	2572649	527.0
OM829108.1	JAILWY010000009.1	2571985	2572649	525.0
OM829107.1	JAILWY010000009.1	2571985	2572649	527.0
OM829106.1	JAILWY010000009.1	2571985	2572649	525.0
OM829105.1	JAILWY010000009.1	2571985	2572649	531.0
OM829104.1	JAILWY010000009.1	2571985	2572649	523.0
OM829103.1	JAILWY010000009.1	2571987	2572649	523.0
