,Chromosome,Source,Feature,Start,End,Score,Strand,Frame,Attribute
0,JAILWY010000001.1,AUGUSTUS,gene,13898,14533,0.85,+,.,JAILWY010000001.1.g1
5,JAILWY010000001.1,AUGUSTUS,gene,35806,37862,0.94,+,.,JAILWY010000001.1.g2
16,JAILWY010000001.1,AUGUSTUS,gene,41279,48751,0.15,-,.,JAILWY010000001.1.g3
43,JAILWY010000001.1,AUGUSTUS,gene,50727,51374,0.34,-,.,JAILWY010000001.1.g4
48,JAILWY010000001.1,AUGUSTUS,gene,51562,53613,0.53,-,.,JAILWY010000001.1.g5
55,JAILWY010000001.1,AUGUSTUS,gene,54576,55421,0.6,+,.,JAILWY010000001.1.g6
62,JAILWY010000001.1,AUGUSTUS,gene,56308,56853,0.84,-,.,JAILWY010000001.1.g7
67,JAILWY010000001.1,AUGUSTUS,gene,78507,80883,0.59,-,.,JAILWY010000001.1.g8
74,JAILWY010000001.1,AUGUSTUS,gene,88242,95687,0.16,-,.,JAILWY010000001.1.g9
89,JAILWY010000001.1,AUGUSTUS,gene,98587,98799,0.55,-,.,JAILWY010000001.1.g10
94,JAILWY010000001.1,AUGUSTUS,gene,117336,118202,1,+,.,JAILWY010000001.1.g11
99,JAILWY010000001.1,AUGUSTUS,gene,149587,157234,0.11,-,.,JAILWY010000001.1.g12
108,JAILWY010000001.1,AUGUSTUS,gene,164716,165456,0.57,-,.,JAILWY010000001.1.g13
115,JAILWY010000001.1,AUGUSTUS,gene,169908,171909,0.92,+,.,JAILWY010000001.1.g14
122,JAILWY010000001.1,AUGUSTUS,gene,189666,190580,0.89,+,.,JAILWY010000001.1.g15
127,JAILWY010000001.1,AUGUSTUS,gene,190838,194113,0.78,+,.,JAILWY010000001.1.g16
132,JAILWY010000001.1,AUGUSTUS,gene,207455,207688,0.98,+,.,JAILWY010000001.1.g17
137,JAILWY010000001.1,AUGUSTUS,gene,227157,227785,0.4,-,.,JAILWY010000001.1.g18
146,JAILWY010000001.1,AUGUSTUS,gene,233483,234421,0.93,-,.,JAILWY010000001.1.g19
151,JAILWY010000001.1,AUGUSTUS,gene,248889,249248,1,-,.,JAILWY010000001.1.g20
156,JAILWY010000001.1,AUGUSTUS,gene,255974,256504,1,+,.,JAILWY010000001.1.g21
161,JAILWY010000001.1,AUGUSTUS,gene,257070,257510,1,-,.,JAILWY010000001.1.g22
166,JAILWY010000001.1,AUGUSTUS,gene,264856,265155,1,-,.,JAILWY010000001.1.g23
171,JAILWY010000001.1,AUGUSTUS,gene,268975,270958,0.55,+,.,JAILWY010000001.1.g24
180,JAILWY010000001.1,AUGUSTUS,gene,289227,304103,0.1,-,.,JAILWY010000001.1.g25
219,JAILWY010000001.1,AUGUSTUS,gene,323297,324111,0.56,-,.,JAILWY010000001.1.g26
226,JAILWY010000001.1,AUGUSTUS,gene,324735,330563,0.4,-,.,JAILWY010000001.1.g27
243,JAILWY010000001.1,AUGUSTUS,gene,337224,337712,1,-,.,JAILWY010000001.1.g28
248,JAILWY010000001.1,AUGUSTUS,gene,342701,343777,0.47,-,.,JAILWY010000001.1.g29
253,JAILWY010000001.1,AUGUSTUS,gene,343822,344310,0.8,-,.,JAILWY010000001.1.g30
258,JAILWY010000001.1,AUGUSTUS,gene,399747,401831,1,-,.,JAILWY010000001.1.g31
263,JAILWY010000001.1,AUGUSTUS,gene,426667,428462,0.34,+,.,JAILWY010000001.1.g32
270,JAILWY010000001.1,AUGUSTUS,gene,434568,435227,0.4,-,.,JAILWY010000001.1.g33
275,JAILWY010000001.1,AUGUSTUS,gene,461085,461357,1,-,.,JAILWY010000001.1.g34
280,JAILWY010000001.1,AUGUSTUS,gene,524311,526250,0.81,+,.,JAILWY010000001.1.g35
287,JAILWY010000001.1,AUGUSTUS,gene,532483,532968,0.51,+,.,JAILWY010000001.1.g36
292,JAILWY010000001.1,AUGUSTUS,gene,534117,537719,0.6,+,.,JAILWY010000001.1.g37
309,JAILWY010000001.1,AUGUSTUS,gene,538223,538762,0.91,-,.,JAILWY010000001.1.g38
314,JAILWY010000001.1,AUGUSTUS,gene,539471,540393,0.57,+,.,JAILWY010000001.1.g39
321,JAILWY010000001.1,AUGUSTUS,gene,542361,543917,0.93,-,.,JAILWY010000001.1.g40
330,JAILWY010000001.1,AUGUSTUS,gene,545194,546610,0.79,+,.,JAILWY010000001.1.g41
339,JAILWY010000001.1,AUGUSTUS,gene,551604,557363,0.5,+,.,JAILWY010000001.1.g42
354,JAILWY010000001.1,AUGUSTUS,gene,559283,570512,0.34,+,.,JAILWY010000001.1.g43
371,JAILWY010000001.1,AUGUSTUS,gene,660526,660759,0.92,+,.,JAILWY010000001.1.g44
376,JAILWY010000001.1,AUGUSTUS,gene,699855,700136,0.87,-,.,JAILWY010000001.1.g45
381,JAILWY010000001.1,AUGUSTUS,gene,709369,709683,0.99,-,.,JAILWY010000001.1.g46
386,JAILWY010000001.1,AUGUSTUS,gene,710224,710763,0.33,-,.,JAILWY010000001.1.g47
393,JAILWY010000001.1,AUGUSTUS,gene,722204,722653,0.29,+,.,JAILWY010000001.1.g48
398,JAILWY010000001.1,AUGUSTUS,gene,744221,752778,0.72,-,.,JAILWY010000001.1.g49
423,JAILWY010000001.1,AUGUSTUS,gene,876401,876727,0.72,+,.,JAILWY010000001.1.g50
428,JAILWY010000001.1,AUGUSTUS,gene,894159,894539,0.8,+,.,JAILWY010000001.1.g51
433,JAILWY010000001.1,AUGUSTUS,gene,897468,897903,0.56,+,.,JAILWY010000001.1.g52
440,JAILWY010000001.1,AUGUSTUS,gene,951934,957060,0.38,-,.,JAILWY010000001.1.g53
447,JAILWY010000001.1,AUGUSTUS,gene,959373,961534,0.59,+,.,JAILWY010000001.1.g54
456,JAILWY010000001.1,AUGUSTUS,gene,974885,975550,0.8,+,.,JAILWY010000001.1.g55
463,JAILWY010000001.1,AUGUSTUS,gene,1051990,1064697,0.88,-,.,JAILWY010000001.1.g56
474,JAILWY010000001.1,AUGUSTUS,gene,1306106,1306663,0.52,-,.,JAILWY010000001.1.g57
481,JAILWY010000001.1,AUGUSTUS,gene,1408862,1416507,0.36,-,.,JAILWY010000001.1.g58
510,JAILWY010000001.1,AUGUSTUS,gene,1417687,1418224,0.62,+,.,JAILWY010000001.1.g59
517,JAILWY010000001.1,AUGUSTUS,gene,1419391,1420929,0.78,+,.,JAILWY010000001.1.g60
524,JAILWY010000001.1,AUGUSTUS,gene,1421285,1426830,0.21,-,.,JAILWY010000001.1.g61
543,JAILWY010000001.1,AUGUSTUS,gene,1433165,1434574,0.99,+,.,JAILWY010000001.1.g62
548,JAILWY010000001.1,AUGUSTUS,gene,1435100,1437008,0.68,-,.,JAILWY010000001.1.g63
561,JAILWY010000001.1,AUGUSTUS,gene,1438283,1440577,0.46,+,.,JAILWY010000001.1.g64
570,JAILWY010000001.1,AUGUSTUS,gene,1443767,1448369,0.22,-,.,JAILWY010000001.1.g65
585,JAILWY010000001.1,AUGUSTUS,gene,1448710,1454116,0.31,+,.,JAILWY010000001.1.g66
602,JAILWY010000001.1,AUGUSTUS,gene,1460800,1465781,0.81,-,.,JAILWY010000001.1.g67
619,JAILWY010000001.1,AUGUSTUS,gene,1470141,1476990,0.57,-,.,JAILWY010000001.1.g68
636,JAILWY010000001.1,AUGUSTUS,gene,1480688,1481868,0.74,-,.,JAILWY010000001.1.g69
645,JAILWY010000001.1,AUGUSTUS,gene,1483477,1488445,0.26,-,.,JAILWY010000001.1.g70
658,JAILWY010000001.1,AUGUSTUS,gene,1490715,1491086,1,+,.,JAILWY010000001.1.g71
663,JAILWY010000001.1,AUGUSTUS,gene,1496023,1496334,0.41,-,.,JAILWY010000001.1.g72
668,JAILWY010000001.1,AUGUSTUS,gene,1500466,1505053,0.73,+,.,JAILWY010000001.1.g73
677,JAILWY010000001.1,AUGUSTUS,gene,1506031,1510113,0.35,-,.,JAILWY010000001.1.g74
694,JAILWY010000001.1,AUGUSTUS,gene,1511228,1511812,0.84,+,.,JAILWY010000001.1.g75
699,JAILWY010000001.1,AUGUSTUS,gene,1531247,1532818,0.24,+,.,JAILWY010000001.1.g76
706,JAILWY010000001.1,AUGUSTUS,gene,1540296,1540580,1,+,.,JAILWY010000001.1.g77
711,JAILWY010000001.1,AUGUSTUS,gene,1570728,1576491,0.61,+,.,JAILWY010000001.1.g78
746,JAILWY010000001.1,AUGUSTUS,gene,1579275,1581528,0.77,-,.,JAILWY010000001.1.g79
755,JAILWY010000001.1,AUGUSTUS,gene,1582697,1587046,0.35,-,.,JAILWY010000001.1.g80
764,JAILWY010000001.1,AUGUSTUS,gene,1589556,1597662,0.21,+,.,JAILWY010000001.1.g81
777,JAILWY010000001.1,AUGUSTUS,gene,1783255,1783701,0.99,-,.,JAILWY010000001.1.g82
782,JAILWY010000001.1,AUGUSTUS,gene,1839656,1840336,0.35,+,.,JAILWY010000001.1.g83
789,JAILWY010000001.1,AUGUSTUS,gene,1841876,1842616,0.96,-,.,JAILWY010000001.1.g84
794,JAILWY010000001.1,AUGUSTUS,gene,1842901,1845357,0.81,+,.,JAILWY010000001.1.g85
805,JAILWY010000001.1,AUGUSTUS,gene,1846937,1859858,0.11,+,.,JAILWY010000001.1.g86
842,JAILWY010000001.1,AUGUSTUS,gene,1867025,1869568,0.61,-,.,JAILWY010000001.1.g87
855,JAILWY010000001.1,AUGUSTUS,gene,1887079,1890873,0.98,+,.,JAILWY010000001.1.g88
870,JAILWY010000001.1,AUGUSTUS,gene,1894595,1897738,0.43,-,.,JAILWY010000001.1.g89
885,JAILWY010000001.1,AUGUSTUS,gene,1898107,1900903,0.38,+,.,JAILWY010000001.1.g90
900,JAILWY010000001.1,AUGUSTUS,gene,1901118,1911882,0.1,-,.,JAILWY010000001.1.g91
923,JAILWY010000001.1,AUGUSTUS,gene,1913077,1922701,0.07,+,.,JAILWY010000001.1.g92
958,JAILWY010000001.1,AUGUSTUS,gene,1923852,1924496,0.6,+,.,JAILWY010000001.1.g93
963,JAILWY010000001.1,AUGUSTUS,gene,1924596,1925129,0.58,+,.,JAILWY010000001.1.g94
968,JAILWY010000001.1,AUGUSTUS,gene,1925753,1926676,0.45,-,.,JAILWY010000001.1.g95
973,JAILWY010000001.1,AUGUSTUS,gene,1930259,1935850,0.5,+,.,JAILWY010000001.1.g96
1004,JAILWY010000001.1,AUGUSTUS,gene,1936447,1939448,0.06,-,.,JAILWY010000001.1.g97
1023,JAILWY010000001.1,AUGUSTUS,gene,1942611,1950725,0.16,+,.,JAILWY010000001.1.g98
1042,JAILWY010000001.1,AUGUSTUS,gene,1951855,1954699,0.3,-,.,JAILWY010000001.1.g99
1055,JAILWY010000001.1,AUGUSTUS,gene,1964161,1964379,0.59,-,.,JAILWY010000001.1.g100
1060,JAILWY010000001.1,AUGUSTUS,gene,1965934,1966137,0.33,-,.,JAILWY010000001.1.g101
1065,JAILWY010000001.1,AUGUSTUS,gene,2000106,2001912,0.83,+,.,JAILWY010000001.1.g102
1072,JAILWY010000001.1,AUGUSTUS,gene,2023829,2033188,0.69,-,.,JAILWY010000001.1.g103
1087,JAILWY010000001.1,AUGUSTUS,gene,2040105,2040332,0.46,-,.,JAILWY010000001.1.g104
1092,JAILWY010000001.1,AUGUSTUS,gene,2048668,2048955,0.95,-,.,JAILWY010000001.1.g105
1097,JAILWY010000001.1,AUGUSTUS,gene,2052032,2055678,0.9,-,.,JAILWY010000001.1.g106
1104,JAILWY010000001.1,AUGUSTUS,gene,2085831,2092894,0.78,+,.,JAILWY010000001.1.g107
1121,JAILWY010000001.1,AUGUSTUS,gene,2095334,2100757,0.49,-,.,JAILWY010000001.1.g108
1136,JAILWY010000001.1,AUGUSTUS,gene,2108879,2111314,0.28,-,.,JAILWY010000001.1.g109
1151,JAILWY010000001.1,AUGUSTUS,gene,2115666,2118523,0.53,-,.,JAILWY010000001.1.g110
1166,JAILWY010000001.1,AUGUSTUS,gene,2128479,2146001,0.49,-,.,JAILWY010000001.1.g111
1197,JAILWY010000001.1,AUGUSTUS,gene,2148266,2148974,0.94,+,.,JAILWY010000001.1.g112
1204,JAILWY010000001.1,AUGUSTUS,gene,2190613,2196498,0.77,+,.,JAILWY010000001.1.g113
1211,JAILWY010000001.1,AUGUSTUS,gene,2208445,2208747,0.97,-,.,JAILWY010000001.1.g114
1216,JAILWY010000001.1,AUGUSTUS,gene,2222304,2222795,0.42,-,.,JAILWY010000001.1.g115
